	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_97	10-TaxaFilter_97	11-MultipletonsFilter_97	12-Subsampling_97	13-Lulu_97	14-RareSeqsFilter_97
105281	46600	37450	37450	37450 (18310 uniques)	34830 (831 uniques)	30689 (587 uniques)	30607 (575 uniques)	30565 (573 uniques)	30565 (573 uniques)	30565 (573 uniques)	30565 (536 uniques)	29314 (497 uniques)	29314 (497 uniques)	3700 (385 uniques)	3700 (385 uniques)	3650 (345 uniques)
105282	14944	11746	11746	11746 (5784 uniques)	10643 (140 uniques)	10211 (116 uniques)	10211 (110 uniques)	10211 (110 uniques)	10211 (110 uniques)	10211 (110 uniques)	10211 (96 uniques)	9965 (77 uniques)	9965 (77 uniques)	3700 (74 uniques)	3700 (74 uniques)	3697 (71 uniques)
105283	20635	16488	16488	16488 (9997 uniques)	14374 (421 uniques)	11395 (254 uniques)	11391 (248 uniques)	11391 (248 uniques)	11391 (248 uniques)	11391 (248 uniques)	11391 (236 uniques)	11251 (225 uniques)	11251 (225 uniques)	3700 (215 uniques)	3700 (215 uniques)	3681 (203 uniques)
105284	27381	21634	21634	21634 (14215 uniques)	18997 (713 uniques)	14756 (489 uniques)	14721 (482 uniques)	14721 (482 uniques)	14721 (482 uniques)	14721 (482 uniques)	14721 (441 uniques)	14317 (432 uniques)	14317 (432 uniques)	3700 (399 uniques)	3700 (399 uniques)	3645 (360 uniques)
105285	31469	25428	25428	25428 (11218 uniques)	24165 (358 uniques)	22002 (257 uniques)	21854 (251 uniques)	21854 (251 uniques)	21854 (251 uniques)	21854 (251 uniques)	21854 (218 uniques)	10271 (212 uniques)	10271 (212 uniques)	3700 (203 uniques)	3700 (203 uniques)	3695 (199 uniques)
105286	34563	27640	27640	27640 (18295 uniques)	24554 (796 uniques)	18444 (552 uniques)	18429 (535 uniques)	18429 (535 uniques)	18429 (535 uniques)	18429 (535 uniques)	18429 (460 uniques)	18241 (452 uniques)	18241 (452 uniques)	3700 (413 uniques)	3700 (413 uniques)	3687 (405 uniques)
105287	20817	16700	16700	16700 (6033 uniques)	16494 (93 uniques)	16271 (79 uniques)	16271 (77 uniques)	16271 (77 uniques)	16271 (77 uniques)	16271 (77 uniques)	16271 (63 uniques)	16191 (57 uniques)	16191 (57 uniques)	3700 (56 uniques)	3700 (56 uniques)	3700 (56 uniques)
105288	35658	27664	27664	27664 (17198 uniques)	25349 (707 uniques)	19937 (503 uniques)	19885 (485 uniques)	19842 (483 uniques)	19842 (483 uniques)	19842 (483 uniques)	19842 (395 uniques)	19569 (382 uniques)	19569 (382 uniques)	3700 (352 uniques)	3700 (352 uniques)	3687 (339 uniques)
105289	217443	179540	179540	179540 (95848 uniques)	173200 (1793 uniques)	156127 (1779 uniques)	155989 (1636 uniques)	152836 (1568 uniques)	152836 (1568 uniques)	152836 (1568 uniques)	152836 (1059 uniques)	152371 (1048 uniques)	152370 (1047 uniques)	3700 (612 uniques)	3700 (612 uniques)	3648 (570 uniques)
105290	22439	17492	17492	17492 (7822 uniques)	17111 (140 uniques)	16559 (144 uniques)	16559 (129 uniques)	16549 (128 uniques)	16549 (128 uniques)	16549 (128 uniques)	16549 (87 uniques)	16501 (83 uniques)	16501 (83 uniques)	3700 (81 uniques)	3700 (81 uniques)	3700 (81 uniques)
105291	30701	24814	24814	24814 (5231 uniques)	24414 (55 uniques)	24233 (41 uniques)	24233 (39 uniques)	24201 (38 uniques)	24201 (38 uniques)	24201 (38 uniques)	24201 (33 uniques)	354 (20 uniques)	354 (20 uniques)	/	/	/
105292	28677	23325	23325	23325 (14248 uniques)	21643 (913 uniques)	16199 (653 uniques)	16179 (646 uniques)	16179 (646 uniques)	16179 (646 uniques)	16179 (646 uniques)	16179 (586 uniques)	16041 (574 uniques)	16041 (574 uniques)	3700 (531 uniques)	3700 (531 uniques)	3650 (500 uniques)
105293	41794	33629	33629	33629 (18619 uniques)	31930 (1186 uniques)	26877 (895 uniques)	26857 (886 uniques)	26770 (884 uniques)	26770 (884 uniques)	26770 (884 uniques)	26770 (787 uniques)	26452 (772 uniques)	26452 (772 uniques)	3700 (653 uniques)	3700 (653 uniques)	3616 (589 uniques)
105294	40660	33078	33078	33078 (22259 uniques)	29989 (789 uniques)	21725 (542 uniques)	21725 (526 uniques)	21725 (526 uniques)	21725 (526 uniques)	21725 (526 uniques)	21725 (424 uniques)	21673 (420 uniques)	21673 (420 uniques)	3700 (398 uniques)	3700 (398 uniques)	3692 (392 uniques)
105295	56175	45045	45045	45045 (27379 uniques)	41474 (974 uniques)	34478 (736 uniques)	34396 (720 uniques)	34358 (718 uniques)	34358 (718 uniques)	34358 (718 uniques)	34358 (600 uniques)	33951 (587 uniques)	33951 (587 uniques)	3700 (491 uniques)	3700 (491 uniques)	3687 (478 uniques)
105296	9585	7659	7659	7659 (4810 uniques)	6937 (453 uniques)	4983 (302 uniques)	4971 (300 uniques)	4971 (300 uniques)	4971 (300 uniques)	4971 (300 uniques)	4971 (292 uniques)	4695 (284 uniques)	4695 (284 uniques)	3700 (284 uniques)	3700 (284 uniques)	3691 (279 uniques)
105297	38885	21973	21973	21973 (14191 uniques)	19937 (955 uniques)	13582 (557 uniques)	13566 (554 uniques)	13566 (554 uniques)	13566 (554 uniques)	13566 (554 uniques)	13566 (515 uniques)	13421 (507 uniques)	13421 (507 uniques)	3700 (472 uniques)	3700 (472 uniques)	3641 (430 uniques)
105298	20737	16938	16938	16938 (8964 uniques)	15099 (287 uniques)	13279 (187 uniques)	13279 (178 uniques)	13275 (177 uniques)	13275 (177 uniques)	13275 (177 uniques)	13275 (162 uniques)	11950 (153 uniques)	11950 (153 uniques)	3700 (137 uniques)	3700 (137 uniques)	3690 (128 uniques)
105299	32833	25510	25510	25510 (11348 uniques)	23952 (222 uniques)	23001 (186 uniques)	22995 (173 uniques)	22935 (171 uniques)	22935 (171 uniques)	22935 (171 uniques)	22935 (142 uniques)	22671 (123 uniques)	22671 (123 uniques)	3700 (99 uniques)	3700 (99 uniques)	3690 (91 uniques)
105300	33115	26264	26264	26264 (11179 uniques)	25838 (158 uniques)	24967 (148 uniques)	24967 (137 uniques)	24936 (136 uniques)	24936 (136 uniques)	24936 (136 uniques)	24936 (91 uniques)	24751 (87 uniques)	24751 (87 uniques)	3700 (83 uniques)	3700 (83 uniques)	3694 (80 uniques)
